name,persona_id,x,y,tags,story
14,14,2,5,#신중함 #창의적인 #차분함 #엉뚱함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
15,15,2,6,#창의적인 #이성적 #감성적 #신중함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
16,16,2,7,#외로움을잘느낌 #내향적 #마이웨이 #긍정적인,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
17,17,2,8,#감성적 #이성적 #내향적 #차분함,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
18,18,2,9,#무심한듯다정한 #사랑많은 #낭만주의자 #내향적,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
19,19,3,1,#명랑한성격 #내향적 #긍정적인 #고독을즐김,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
20,20,3,2,#차분함 #감성적 #긍정적인 #열정적인,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
21,21,3,3,#혼자생각많음 #신중함 #낭만주의자 #창의적인,"그날은 유난히 바람이 차가웠다. 말없이 흘러가는 사람들 속에서 나는 그저 멈춰 서 있었다. 누군가 나를 이해해주길 바랐지만, 아무 말 없이 스쳐가는 눈빛들만이 남았다. 오랜만에 꺼내든 사진 한 장, 그리고 그 속에 담긴 따뜻했던 기억 하나. 외로움은 때로 고요하게 나를 감싸고, 나는 그 안에서 잠시 안정을 느낀다. 누군가와의 연결이 그리워질 때면, 조용히 다시 그 골목을 걷는다."
22,22,3,4,#낭만주의자 #내향적 #긍정적인 #사랑많은,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
23,23,3,5,#고독을즐김 #신중함 #외로움을잘느낌 #감성적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
24,24,3,6,#무심한듯다정한 #감성적 #엉뚱함 #내향적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
25,25,3,7,#마이웨이 #예민함 #낭만주의자 #외로움을잘느낌,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
26,26,3,8,#긍정적인 #차분함 #예민함 #내향적,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
27,27,3,9,#이성적 #창의적인 #신중함 #내향적,"평소와 다름없는 일상이었다. 그런데 그녀가 웃으며 다가오던 순간, 뭔가 달라졌다. 심장은 조용히 떨렸고, 말 한마디 건네는 것도 조심스러웠다. 그녀의 말투, 작은 몸짓 하나까지도 나를 설레게 했다. 그날 이후, 나는 매일 아침 그녀와 마주칠까 기대하며 같은 길을 걷는다. 이 감정이 사랑인지 확신할 수 없지만, 따뜻한 설렘이 나를 가득 채운다."
28,28,4,1,#창의적인 #명랑한성격 #상처받기쉬운 #고독을즐김,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
29,29,4,2,#창의적인 #차분함 #현실주의자 #열정적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
30,30,4,3,#고독을즐김 #차분함 #예민함 #외로움을잘느낌,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
31,31,4,4,#현실주의자 #혼자생각많음 #창의적인 #열정적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
32,32,4,5,#외로움을잘느낌 #감성적 #낭만주의자 #예민함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
33,33,4,6,#낭만주의자 #긍정적인 #현실주의자 #혼자생각많음,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
34,34,4,7,#예민함 #사랑많은 #혼자생각많음 #엉뚱함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
35,35,4,8,#사랑많은 #낭만주의자 #무심한듯다정한 #마이웨이,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
36,36,4,9,#무심한듯다정한 #이성적 #사랑많은 #긍정적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
37,37,5,1,#혼자생각많음 #마이웨이 #현실주의자 #창의적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
38,38,5,2,#차분함 #열정적인 #외로움을잘느낌 #창의적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
39,39,5,3,#상처받기쉬운 #고독을즐김 #차분함 #사랑많은,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
40,40,5,4,#창의적인 #고독을즐김 #사랑많은 #무심한듯다정한,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
41,41,5,5,#사랑많은 #외로움을잘느낌 #현실주의자 #창의적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
42,42,5,6,#무심한듯다정한 #이성적 #창의적인 #예민함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
43,43,5,7,#차분함 #고독을즐김 #엉뚱함 #신중함,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
44,44,5,8,#무심한듯다정한 #열정적인 #신중함 #긍정적인,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
45,45,5,9,#고독을즐김 #예민함 #혼자생각많음 #내향적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
46,46,6,1,#신중함 #상처받기쉬운 #외로움을잘느낌 #명랑한성격,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
47,47,6,2,#예민함 #이성적 #상처받기쉬운 #감성적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
48,48,6,3,#감성적 #이성적 #낭만주의자 #무심한듯다정한,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
49,49,6,4,#긍정적인 #상처받기쉬운 #마이웨이 #내향적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
50,50,6,5,#고독을즐김 #무심한듯다정한 #내향적 #이성적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
51,51,6,6,#혼자생각많음 #예민함 #고독을즐김 #낭만주의자,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
52,52,6,7,#낭만주의자 #사랑많은 #엉뚱함 #마이웨이,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
53,53,6,8,#긍정적인 #엉뚱함 #현실주의자 #내향적,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
54,54,6,9,#창의적인 #신중함 #무심한듯다정한 #혼자생각많음,"비 오는 오후, 혼자 앉아 커피를 마셨다. 창밖 풍경은 흐렸고, 마음도 잔잔했다. 요즘은 자주 생각한다. 내가 원하는 삶이 어떤 건지, 누군가와 함께 걷는다는 건 어떤 의미인지. 크게 흔들리지 않는 하루들 속에서, 나는 나 자신과 대화를 나누고 있었다. 조금 느려도 괜찮아. 내가 나로서 살아간다는 감각을 잃지 않는다면, 그것만으로도 충분하다."
55,55,7,1,#내향적 #낭만주의자 #외로움을잘느낌 #이성적,"말하지 못한 것들이 쌓였다. 이해받지 못했던 시간들, 억눌렸던 감정들. 결국 터져버렸다. 나는 그에게 소리쳤고, 눈물이 흘러내렸다. 분노 속에서도 그리움이 섞여 있었고, 미움 속에도 여운이 남아 있었다. 누군가를 좋아한다는 건, 때로는 자신을 잃어버리는 일과도 같았다. 모든 게 산산이 부서진 후에야, 나는 나를 다시 마주할 수 있었다."
